Precio,Direccion,Actualizado,Gastos_Comunes,Piso,Apartamentos_por_Pisos,Cantidad_de_Pisos,Tipo_de_Propiedad,Zona,Estado,Disposicion,Banos,Habitaciones,M2_edificados,M2_de_terraza,M2_del_terreno,Ano_de_Construccion,Dormitorios,Garajes,Plantas,Vista_al_mar,Vivienda_Social,Deposito,Barbacoa,Calefaccion,Mascota,Playroom,GYM,Cochera,Gas_Caneria,Patio,Solarium,Jardin,Duplex,Salon,Aire_Acondicionado,Losa_Radiante,Closet,Parrillero,Balcon,WiFi,Piscina,Amueblado,Descripcion
4800,Coronel Juan Belinzon y Patricios,2023-08-19,0,0,0,0,Local industrial o galpón,Maroñas,Buen estado,No aplica,3,1,2350,0,2644,1925,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"

Se trata de un depósito logístico de 2644m2 de terreno con 2350m2 edificados distribuidos en dos plantas, ubicado por la calle Coronel Juan Bellinzon esq. Patricios.

Cuenta con un frente de 58,50m, en donde hay dos entradas de gran porte vehicular. 
Actualmente en la unidad hay una fábrica, la cual se encuentra en uso por una empresa alimenticia.
La propiedad se distribuye por varias oficinas, sala de juntas, 2 grandes vestuarios, comedor, y luego amplias naves de usos varios. Luego varios depósitos varios, y unas grandes esplanadas para transitar con vehículos de carga.
La nave mas grande cuenta con 38m x 17m (646m2) con una altura del techo máxima de 6m. Sin columnas.
Uno de los depósitos cuanta con 14,5m x 21,5m (311,7m2). Sin columnas.
Otro depósito cuanta con 4m x 7m (28m2). Sin columnas.
Cuanta con Bromatología vigente hasta el 2026.
Se aceptan permutas, o financiación propia.

Pointer - Mejores Negocios Inmobiliarios.
Agente Inm. Ignacio Masllorens *** 


Se trata de un depósito logístico de 2644m2 de terreno con 2350m2 edificados distribuidos en dos plantas, ubicado por la calle Coronel Juan Bellinzon esq. Patricios.

Cuenta con un frente de 58,50m, en donde hay dos entradas de gran porte vehicular. 
Actualmente en la unidad hay una fábrica, la cual se encuentra en uso por una empresa alimenticia.
La propiedad se distribuye por varias oficinas, sala de juntas, 2 grandes vestuarios, comedor, y luego amplias naves de usos varios. Luego varios depósitos varios, y unas grandes esplanadas para transitar con vehículos de carga.
La nave mas grande cuenta con 38m x 17m (646m2) con una altura del techo máxima de 6m. Sin columnas.
Uno de los depósitos cuanta con 14,5m x 21,5m (311,7m2). Sin columnas.
Otro depósito cuanta con 4m x 7m (28m2). Sin columnas.
Cuanta con Bromatología vigente hasta el 2026.
Se aceptan permutas, o financiación propia.

Pointer - Mejores Negocios Inmobiliarios.
Agente Inm. Ignacio Masllorens *** "
925,Avenida Bolivia,2023-10-06,232,0,0,0,Apartamento,Carrasco,Excelente estado,Al frente,2,3,85,15,85,1991,2,1,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sobre Bolivia próximo Colegios y servicios. Living comedor con terraza orientada al Norte. Cocina definida de buen tamaño. Estar/comedor. Terraza lavadero super espaciosa con vista.2 dormitorios con placard. 2 baños completos.AA en living comedor.1 cochera de buen tamaño.Portería virtual 24 horas 1 portería presencial con horario.Gastos comunes $9300 aprox.Consulte!Mercedes Arocena Bienes Raíces 
1300,Juncal 1355,2023-06-28,200,10,7,12,Oficina,Centro,Buen estado,Al frente,2,1,130,6,130,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Oficina en Plaza Independencia.Vistas totales a la Plaza, 130 metros interiores, dos terrazas, un baño nuevo.Un despacho privado y tres ambientes conectados con puertas correderas, aires en todos los ambientes, aberturas casi nuevas de aluminio, rollers en todas las ventanas, cableado de última genaración."
1050,Camino Maldonado Y Oyarvide,2023-09-30,0,0,0,0,Local Comercial,Maroñas,Buen estado,Al frente,1,6,179,0,179,1965,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sobre Camino Maldonado se encuentra este local comercial de 179 m2.

Al ingresar hay un espacio que puede usarse como recepción o recibidor, de buen tamaño; con una barra de madera. En el mismo lugar tiene una habitación anexa, que da la posibilidad de colocar una pared de yeso para contar con un ambiente más, o se puede dejar como está y tener una recepción grande.

Pasando esa entrada nos encontramos con un gran pasillo que conecta cuatro ambientesy un baño completo. Dos de los ambientes están al centro del local, en la punta hay uno mas angosto que antes se usaba como taller, y otro ambiente conecta con la recepción.

El local cuenta con un buen tamaño y un excelente frente que le va a dar gran visibilidad a cualquier empresa que ahi se instale. Brindando una muy buena exposición debido a la cantidad de autos que circulan todo el día.

No dudes en consultar
Agente inmobiliario Mauricio Maisonnave
POINTER- Mejores Negocios Inmobiliarios

Sobre Camino Maldonado se encuentra este local comercial de 179 m2.

Al ingresar hay un espacio que puede usarse como recepción o recibidor, de buen tamaño; con una barra de madera. 
En el mismo lugar tiene una habitación anexa, que da la posibilidad de colocar una pared de yeso para contar 
con un ambiente más, o se puede dejar como está y tener una recepción grande.

Pasando esa entrada nos encontramos con un gran pasillo que conecta cuatro ambientes
y un baño completo. Dos de los ambientes están al centro del local, en la punta hay uno mas angosto que antes se 
usaba como taller, y otro ambiente conecta con la recepción.

El local cuenta con un buen tamaño y un excelente frente que le va a dar gran visibilidad a cualquier empresa 
que ahi se instale. Brindando una muy buena exposición debido a la cantidad de autos que circulan todo el día.

No dudes en consultar
Agente inmobiliario Mauricio Maisonnave 
POINTER- Mejores Negocios Inmobiliarios"
4190,Rambla Ghandi,2023-08-08,645,4,0,0,Apartamento,Punta Carretas,Excelente estado,Al frente,3,4,200,0,200,2010,3,2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Espléndido apartamento ubicado en la prestigiosa Rambla de Punta Carretas, Montevideo. Con una ubicación privilegiada y vistas panorámicas al mar, este exclusivo apartamento cuenta con 3 suites, baño social, un amplio living y comedor que se abren a un balcón privado con vistas inigualables. La cocina, amplia y definida, ofrece un espacio perfecto para disfrutar de tus momentos culinarios. Además, cuenta con un comedor diario para comodidad adicional.Esta propiedad también incluye dependencia de empleada y lavadero para mayor conveniencia.Con 2 garajes, el estacionamiento no será un problema. Además, disfruta de la tranquilidad y seguridad que brinda la portería con servicio las 24 horas.Precio de alquiler: USD 4.190Gastos comunes: $25.800.No pierdas la oportunidad de vivir en este increíble apartamento, donde la armonía entre lujo, ubicación y comodidad te espera. Contáctanos para obtener más información y planificar una visita. (CW202415)"
612,Francisco Canaro  al 2200,2023-08-07,0,0,0,0,Oficina,Parque Batlle,A estrenar,Contrafrente,1,1,36,0,36,0,0,1,10.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,"                                                                        Apartamento de uso residencial y/o profesional, ideal para consultorio profesional (psicólogo, dentista, clínica estética, etc) en Tres Cruces, a pasos de Parque Batlle y de la principal Avenida 18 de Julio (Centro).Francisco Canaro esquina Bulevar ArtigasPiso 10.- Apartamento a estrenar- Monoambiente con una inmejorable vista desde el piso 10- Dos Ambientes (sala de espera)- Ventana con persianas- Aire Acondicionado Inverter- Cocina integrada - Baño con excelente terminaciones - Garaje fijo en sub suelo- Gastos Comunes bajos: $ 1.600 mensuales- Salón de Uso Múltiple en Piso 11 con parrillero, baño y mobiliario.- Dos Ascensores.- Amplias escaleras de emergencia.- Portería Virtual 24 hs- Garantía de Seguro (Porto, Sura, Mapfre, etc) - No admite depósito BHU ni garantía de propiedad. El ""Edificio Canaro"" se encuentra ubicado en Francisco Canaro 2276 entre Av. Bulevar Artigas y Dr. Mario Cassinoni en la zona de Tres Cruces, a metros del Shopping yTerminal Tres Cruces y del Parque Batlle.Además de ser un lugar de carácter residencial por excelencia, a metros de dos principales avenidas, se ubica en las inmediaciones de los principales Sanatorios Privados y Hospitales Públicos del país en la llamada ""zona Blanca"" (Asociación Española. Hospital Británico, Sanatorio Americano, Médica Uruguaya, Círculo Católico, Hospital Pereira Rossell, clínicas privadas, etc) al igual que de las principales Universidades.El Edificio consta de una torre de diez niveles, con un total de 98 unidades, que van desde monoambiestes, hasta tres dormitorios, con la posibilidad de plantas diáfanas (consulte). Todas las unidades cuentan con baños completos, en las unidades de más de dos ambientes la cocina esta diseñada independientemente del ambiente principal. También cuenta con 62 lugares de garaje disponibles y completamente techados.Portería Virtual 24 horas en hall de acceso y Barbacoa con amenities en Piso 11 con una vista 360 de la ciudad de Montevideo. Comisión Inmobiliaria 1 mes de Alquiler + I.V.A. ***      "
750,21 de setiembre 2702,2023-09-06,187,3,4,11,Apartamento,Pocitos,Excelente estado,Al frente,1,2,40,2,40,2017,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Con orientacion norte y una hermosa vista se encuentra este departamento en alquiler en el Edificio AlquimiaLiving comedor con cocina integrada con placares y campana de extraccion  Balcon de 2 mcDormitorio con placar (2.85 x 4.15 )Baño con mampara de cristal
412,Bonaparte ,2023-09-20,45,1,0,0,Apartamento,La Blanqueada,Buen estado,Al frente,1,1,35,0,35,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monoambiente en buen estado. Excelente ubicacion, a dos cuadras de Nuevo Centro Shopping.Excelenlen locomocion.Pronto para vivir."
395,Himalaya 2987,2023-09-15,0,0,3,1,Apartamento,Villa Española,Buen estado,Interior,1,4,56,56,56,1953,3,0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apartamento ubicado en Himalaya esq. Agacesse encuentra ubicado por corredor al fondo y consta de 56mts2 distribuidos en:- Estar con cocina integrada- 3 Dormitorios- Baño- Patio pequeño (en un dormitorio)No tiene gastos comunes.Garantía puede ser ANDA, CGN o Porto Seguros.No dudes en contactarnosAgente inmobiliario: MatíasComisión Inmobiliaria: 1mes de alquiler +IVA_____________________________________________________________G&G Asesores InmobiliariosVENTA - ALQUILER - ADMINISTRACION"
2600,Av. Brasil 3070,2023-09-01,450,9,2,10,Apartamento,Pocitos,Excelente estado,Al frente,3,4,195,21,195,0,3,2,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,"Alquiler noveno piso de 3 dormitorios y servicio, estar, 4 baños, amplio e independiente garage para 2 autos uno al lado del otro, 2 terrazas + terraza lavadero. Vigilancia las 24 hs, $18.000 de gastos comunes. 2 ascensores. Vista al río. 2 baños completos (principal en suite), baño social y baño de servicio. Dormitorio principal y gran living al frente. Aire acondicionado en suite y living comedor. Cortinas roller y apliques de luz instalados.Apartamento como nuevo.Cocina con horno, anafe y campana.Calefacción individual por losa radiante a gas.Excelente construcción, pisos de parquet plastificado, jacuzzi en baño principal, porcelanatos importados de gran medida, excelente carpintería con placares forrados en madera.Salón de usos múltiples con gran parrillero y hermosa vista al mar.Ubicación ideal para extranjeros, con todos los servicios a mano (bancos, shoppings, supermercados, colegios, farmacias, acceso a transporte público, restaurantes, rambla de Pocitos, etc.)"
